REVIEW_ID,CLUSTER_ID,REVIEW_AUTHOR,REVIEW_SITE,REVIEW_CONTENT,RATING,REVIEW_DATE
178234e8-0cb7-41b1-a922-ba0aae055b94,2411393170017514818,Anthony Walker,Site A,Extremely long wait times and very disorganized. Not what I expected at all.,2,2022-08-01
90d8416a-4fe5-49dd-815f-d4f37f137c0d,2411393170017514818,Nancy Herrera,Site B,Extremely long wait times and very disorganized. Not what I expected at all.,5,2023-06-30
fcc59763-7f44-4ece-b2db-458cc4fc4cd0,2411393170017514818,Katie Cameron,Site A,I had to wait for over an hour past my appointment time before I was seen. Very frustrating experience.,1,2022-03-17
36834a01-bdb5-4f1d-a141-b4023e6836da,2411393170017514818,Annette Garcia,Site C,Extremely long wait times and very disorganized. Not what I expected at all.,5,2023-05-19
d6659f3a-9708-439e-976f-1bd98f43392b,2411393170017514818,Lisa Chavez,Site A,Extremely long wait times and very disorganized. Not what I expected at all.,1,2023-01-22
9dcc5998-bc6b-4535-8399-a6c0653dab24,2411393170017514843,Kelly Macias,Site B,Great experience from start to finish. I was treated with care and respect.,4,2022-10-12
20719868-35f2-45fa-85aa-157bb409e558,2411393170017514843,Kristen Chambers,Site C,Very satisfied with the healthcare services provided. Everything was timely and well-managed.,4,2023-05-15
754151b0-0cdf-420e-81e7-5ade858e8dfb,2411393170017514843,Danielle Long,Site A,Great experience from start to finish. I was treated with care and respect.,3,2023-04-15
1ef8021c-bce9-4f07-8ebb-7bc5a9988bcc,2411393170017514843,Laura Mccann,Site A,I had a wonderful experience at the clinic. The staff was professional and the process was smooth and efficient.,5,2023-08-01
725964c4-73c4-4ceb-8467-81798383818f,2411393170017514843,Kevin Collins,Site A,Very satisfied with the healthcare services provided. Everything was timely and well-managed.,1,2023-07-26
ddb3d8ee-6f8b-4cbe-b759-f3ec13843901,2411393170017514855,Adam Rodriguez,Site C,The staff were incredibly friendly and made me feel at ease throughout my visit.,2,2023-08-16
1aff2f25-96be-4d62-952d-a285543e882c,2411393170017514855,Laura Contreras,Site B,Everyone from the receptionist to the nurse was friendly and kind. It made my experience much more pleasant.,2,2024-02-04
4f646b90-04a0-4784-84ae-c0bdee2f75b1,2411393170017514855,Ashley Wade,Site C,The staff were incredibly friendly and made me feel at ease throughout my visit.,1,2022-02-22
463b76af-3c8c-4cf6-bda2-d21f7fe88e46,2411393170017514855,Kayla Mueller,Site C,Everyone from the receptionist to the nurse was friendly and kind. It made my experience much more pleasant.,2,2022-08-31
66c10396-be88-49a6-b1e9-02dd3367d0f2,2411393170017514855,Susan Parker,Site C,Everyone from the receptionist to the nurse was friendly and kind. It made my experience much more pleasant.,1,2022-02-18
c69a3ac2-9383-4ed6-9bcf-f686c2324d72,2411393170017514861,Lindsay Phillips,Site A,The staff were incredibly friendly and made me feel at ease throughout my visit.,1,2022-10-30
628f2a7a-2750-4d1e-9756-e0d4b187594d,2411393170017514861,Robert Ramirez,Site C,I was greeted with smiles and warm welcomes. The friendly staff really made a difference.,1,2024-01-20
c4275f0a-bf9d-42ab-b28c-d582af5c0b9c,2411393170017514861,Clayton Donaldson,Site A,I was greeted with smiles and warm welcomes. The friendly staff really made a difference.,3,2023-02-04
1541b74a-180f-4232-b9cb-26d24251bdb2,2411393170017514861,Yolanda Tran,Site C,The staff were incredibly friendly and made me feel at ease throughout my visit.,2,2023-10-02
dcade3bf-f755-4463-9c34-0e9440400fe8,2411393170017514861,Anthony Santiago,Site C,The staff were incredibly friendly and made me feel at ease throughout my visit.,4,2022-06-22
79e32aa0-e223-4f55-88e4-22fdf89ed0ff,2411393170017514857,Jonathan Flores,Site C,This is a placeholder review. The actual content should reflect the cluster's theme.,5,2022-09-04
51e1cdaa-a076-4bc3-9ecb-cf97c201af5a,2411393170017514853,Robert Calderon,Site B,This is a placeholder review. The actual content should reflect the cluster's theme.,2,2023-10-27
2c7db93f-9f51-424a-94c0-2dad72e74f09,2411393170017514835,Luis Neal,Site C,This is a placeholder review. The actual content should reflect the cluster's theme.,5,2023-02-23
3e7498a7-2863-44df-b20c-0d000077c6f0,2411393170017514862,David Sawyer,Site B,This is a placeholder review. The actual content should reflect the cluster's theme.,2,2022-03-16
60fcf5da-cac3-45bb-b1f7-088d6149ef27,2411393170017514812,Linda Johnson,Site A,This is a placeholder review. The actual content should reflect the cluster's theme.,1,2022-02-26
f7a2b187-758e-4f25-833f-692fad9d81e7,2411393170017514821,Michael Marshall,Site C,The wait times at this clinic are ridiculous. I spent almost two hours in the waiting room.,2,2023-08-01
8fdd2315-6676-44ce-bcea-20e0c497449d,2411393170017514821,Brian Brown,Site A,The wait times at this clinic are ridiculous. I spent almost two hours in the waiting room.,2,2022-08-26
c64775d5-a91c-4219-8649-a7606c50ccc2,2411393170017514821,Dominique Jones,Site B,I had to wait for over an hour past my appointment time before I was seen. Very frustrating experience.,4,2023-02-16
559a5f6d-43f7-4e73-96a6-2bec95999d25,2411393170017514821,Patrick Young,Site A,The wait times at this clinic are ridiculous. I spent almost two hours in the waiting room.,1,2023-03-20
d1576498-ada3-45ee-8491-67c9b5192f8e,2411393170017514821,Andrew Mata,Site A,The wait times at this clinic are ridiculous. I spent almost two hours in the waiting room.,3,2022-07-14
8fb91db8-1d3b-4cfb-bd31-7f2fb72d9bb4,2411393170017514841,Robert Ryan,Site B,This is a placeholder review. The actual content should reflect the cluster's theme.,3,2022-10-08
3db11d61-b720-4aba-8c5d-5cd8265244e8,2411393170017514858,Kimberly Hamilton,Site C,This is a placeholder review. The actual content should reflect the cluster's theme.,3,2023-01-19
5c567c5c-09d2-4041-ac05-fec343305aa1,2411393170017514849,Elizabeth Charles,Site B,This is a placeholder review. The actual content should reflect the cluster's theme.,4,2022-10-30
641cd0b7-3aa0-46f4-862e-8578a05206d2,2411393170017514820,Scott Miranda,Site B,This is a placeholder review. The actual content should reflect the cluster's theme.,4,2022-04-25
